,Index,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type,Flag
0,4730,0xNewAddressForTestWithMeanValues,0,5086.878720658469,8004.851183822782,218333.25765166144,115.93171425668125,163.700945025912,3.729702266029875,30.360938928970636,25.84015852047556,43.84515347850828,523.1524805210852,100.71172136073568,4.800089521898181,314.61729701798595,44.75573123534193,3.04847068387359e-06,7.72573925414084e-06,5.387054161162484e-06,283.3623615486231,10160.92333805452,11638.31863009278,7.725710090437964e-06,1477.3952841556463,36.255659121171774,129620673.24360897,13868492.609468944,110.93920668739632,5.63803817132712,7.598535286284953,0.0034398579671549,4.90190856635597,0.0,0.0,0.0,0.0,485.6146875906568,125252360.1523875,4346203.068974394,11741.257297339323,13035935.151901012,6318389.134577394,0.0,0.0,0.0,1.3849312028406568,4.826675543719485,,,
1,1,0xd082239e2592dd3ae19727fc25783f0ad0bf69a7,0,1020.3119825666668,0.0,1561088.0,1531.0,0.0,1765.0,21.0,146.0,0.0,0.0,0.0,0.0,303.0,3.3194421191480266,0.0,303.0,3.3194421191480266,1786.0,5082.065884415629,0.0,5082.065884415629,4.114705539e-06,244.0,3660330.08095251,144898.86045505578,144898.86045505578,64.0,145.0,0.0034398579671549,44.0,0.0,0.0,0.0,0.0,1e-18,2500000.0,15001.352790788977,11741.257297339323,34761.767207915414,619.2258993805802,0.0,0.0,0.0,17.0,44.0,,,0.0
2,2,0xfd6702e5fa24b75a660c53b2cbd8bbccf96966aa,0,523.1192792666667,0.0,387161.6,741.0,0.0,773.0,9.0,240.0,0.0,0.0,0.0,0.0,0.409,0.0539660680927582,0.0,0.409,0.0539660680927582,917.0,39.98885645673384,0.0,39.98885645673384,0.000199241966154,105.0,68689182232.54733,59124018494.53293,59124018494.53293,147.0,105.0,0.0034398579671549,105.0,0.0,0.0,0.0,0.0,4e-15,17999999999.100002,654182687.9290222,11741.257297339323,16199999999.19,396805493.2518988,0.0,0.0,0.0,84.0,105.0,,,0.0
3,3,0xef8801eaf234ff82801821ffe2d78d60a0237f97,0,16.8272545,0.0,42007.46666666667,2496.0,0.0,2500.0,1.0,921.0,0.0,0.0,0.0,0.0,0.583147143369,0.0941525366709867,0.0,0.583147143369,0.0941525366709867,2500.0,235.0047315307829,0.0,235.0047315307829,37.02801637010939,2499.0,630305471.1691555,5e-08,5e-08,1.0,892.0,0.0034398579671549,10.0,0.0,0.0,0.0,0.0,1.53e-12,75779677.53977439,252223.0776987417,11741.257297339323,5e-08,5e-08,0.0,0.0,0.0,1.0,10.0,,,0.0
4,4,0x0c3de458b51a11da7d4616f42f66c861e3859d3e,0,0.0,0.0,34948.26666666667,0.0,0.0,2176.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,1224.0,1655310482177.479,988598054719.386,988598054719.386,141.0,100.0,0.0034398579671549,97.0,0.0,0.0,0.0,0.0,1.820687e-11,666712427591.4358,1352377844.916241,11741.257297339323,97037003830.38586,774763365.7675439,0.0,0.0,0.0,96.0,97.0,,,0.0
5,5,0xfe3725bd7993a2162d53815317aed372b7a64ee0,0,,0.0,11123.2,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.027085556084986,0.027085556084986,0.027085556084986,0.027085556084986,0.027085556084986,0.027085556084986,2.0,0.027085556084986,0.0,0.027085556084986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034398579671549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11741.257297339323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
6,6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0,0.0,0.0,3281.0666666666666,0.0,0.0,560.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,3.811529991141e-06,1245.0,161012.88209353836,151089.57602823197,151089.57602823197,13.0,20.0,0.0034398579671549,7.0,0.0,0.0,0.0,0.0,5e-13,10000.0,129.32761613938823,11741.257297339323,20000.0,120.39010042090196,0.0,0.0,0.0,6.0,7.0,,,0.0
7,7,0xb618aacb9dcdc21ca69d310a6fc04674d293a193,0,966.8414114833332,0.0,2210203.7333333334,2287.0,0.0,2432.0,98.0,285.0,0.0,0.0,0.0,0.0,40.0,0.1799944687922998,0.0,40.0,0.1801520131851158,2500.0,411.6473501279896,0.0,411.6473501279896,0.175671210059223,1246.0,1.6642285434266485e+59,3851648722.5751295,3851648722.5751295,231.0,361.0,0.0034398579671549,164.0,0.0,0.0,0.0,0.0,0.0,1.0574111920161697e+59,1.335656936939525e+56,11741.257297339323,1853108349.204933,3069042.8068327727,0.0,0.0,0.0,116.0,155.0,,,0.0
8,8,0xc1fc217148447970a85a706fddfda9e0be6956bb,0,30940.4121212,0.0,680695.4666666667,23.0,0.0,28.0,4.0,13.0,0.0,0.0,0.0,0.0,0.053,0.0051541034361075,0.0,0.053,0.0051541034361075,30.0,0.1185443790304725,0.0,0.1185443790304725,0.0082015634649732,7.0,0.1783756360008327,0.0987090223182218,0.0987090223182218,4.0,5.0,0.0034398579671549,4.0,0.0,0.0,0.0,0.0,1.03515146e-10,0.0594666136826109,0.0254822337144046,11741.257297339323,0.0594666136826109,0.0197418044636443,0.0,0.0,0.0,2.0,4.0,,,0.0
9,9,0xe592427a0aece92de3edee1f18e0157c05861564,0,0.0,0.0,1676.8,0.0,0.0,1980.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,979.0,662368.4390971907,662525.4145839687,662525.4145839687,115.0,111.0,0.0034398579671549,5.0,0.0,0.0,0.0,0.0,2.397e-15,110015.34635646624,676.5765465752714,11741.257297339323,110015.34635646624,435.5854139276586,0.0,0.0,0.0,5.0,5.0,,,0.0
